Probability,sigma,Cumulative probability
0.0937754307600974,1.88,0.206343856270795
0.999952348855163,0.43,0.308782152547626
0.999952348855163,0.43,0.308782152547626
0.999952348855163,0.43,0.308782152547626
0.999952348855163,0.43,0.308782152547626
0.137421247443825,1.43,0.21245161283902
0.999952348855163,0.43,0.308782152547626
0.13743604967321,1.43,0.198792545004934
0.13743604967321,1.43,0.198792545004934
0.999952348855163,0.43,0.308782152547626
0.999952348855163,0.43,0.308782152547626
0.999952348855163,0.43,0.308782152547626
0.999952348855163,0.43,0.308782152547626
0.999952348855163,0.43,0.308782152547626
0.999952348855163,0.43,0.308782152547626
0.999952348855163,0.43,0.308782152547626
0.999952348855163,0.43,0.308782152547626
0.999952348855163,0.43,0.308782152547626
0.999952348855163,0.43,0.308782152547626
0.999952348855163,0.43,0.308782152547626
0.999952348855163,0.43,0.308782152547626
0.999952348855163,0.43,0.308782152547626
0.999952348855163,0.43,0.308782152547626
0.999952348855163,0.43,0.308782152547626
0.999952348855163,0.43,0.308782152547626
0.999952348855163,0.43,0.308782152547626
0.999952348855163,0.43,0.308782152547626
0.999952348855163,0.43,0.308782152547626
0.999952348855163,0.43,0.308782152547626
0.999952348855163,0.43,0.308782152547626
0.999952348855163,0.43,0.308782152547626
0.999952348855163,0.43,0.308782152547626
0.999952348855163,0.43,0.308782152547626
0.999952348855163,0.43,0.308782152547626
0.999952348855163,0.43,0.308782152547626
0.999952348855163,0.43,0.308782152547626
0.999952348855163,0.43,0.308782152547626
0.999952348855163,0.43,0.308782152547626
0.999952348855163,0.43,0.308782152547626
0.999952348855163,0.43,0.308782152547626
0.999952348855163,0.43,0.308782152547626
0.999952348855163,0.43,0.308782152547626
0.999952348855163,0.43,0.308782152547626
0.999952348855163,0.43,0.308782152547626
0.999952348855163,0.43,0.308782152547626
0.999952348855163,0.43,0.308782152547626
0.13743604967321,1.43,0.198792545004934
0.13743604967321,1.43,0.198792545004934
0.999952348855163,0.43,0.308782152547626
0.999952348855163,0.43,0.308782152547626
0.999952348855163,0.43,0.308782152547626
0.999952348855163,0.43,0.308782152547626
0.999952348855163,0.43,0.308782152547626
0.999952348855163,0.43,0.308782152547626
0.999952348855163,0.43,0.308782152547626
0.999952348855163,0.43,0.308782152547626
0.13743604967321,1.43,0.198792545004934
0.999952348855163,0.43,0.308782152547626
0.999952348855163,0.43,0.308782152547626
0.13743604967321,1.43,0.198792545004934
0.103097269512634,1.29,0.165367508498853
0.135642597750755,1.4,0.201491292122627
0.137421247443825,1.43,0.21245161283902
0.137421247443825,1.43,0.21245161283902
0.13743604967321,1.43,0.198792545004934
0.0336594172130314,3.03,0.216488215401758
0.999952348855163,0.43,0.308782152547626
0.999952348855163,0.43,0.308782152547626
0.0117742760683497,5.09,0.309965474247132
0.13743604967321,1.43,0.198792545004934
0.999952348855163,0.43,0.308782152547626
0.999952348855163,0.43,0.308782152547626
0.999952348855163,0.43,0.308782152547626
0.999952348855163,0.43,0.308782152547626
0.999952348855163,0.43,0.308782152547626
0.999952348855163,0.43,0.308782152547626
0.999952348855163,0.43,0.308782152547626
0.999952348855163,0.43,0.308782152547626
0.999952348855163,0.43,0.308782152547626
0.999952348855163,0.43,0.308782152547626
0.137421247443825,1.43,0.21245161283902
0.13743604967321,1.43,0.198792545004934
0.13743604967321,1.43,0.198792545004934
0.0660304898855624,1.88,0.187947100936673
0.0151375520413314,4.62,0.266970244879546
0.999952348855163,0.43,0.308782152547626
0.999952348855163,0.43,0.308782152547626
0.0336594172130314,3.03,0.216488215401758
0.0937754307600974,1.88,0.206343856270795
0.0190863597182596,2.8,0.17172674149303
0.13743604967321,1.43,0.198792545004934
0.999952348855163,0.43,0.308782152547626
0.999952348855163,0.43,0.308782152547626
0.13743604967321,1.43,0.198792545004934
0.999952348855163,0.43,0.308782152547626
0.13743604967321,1.43,0.198792545004934
0.13743604967321,1.43,0.198792545004934
0.13743604967321,1.43,0.198792545004934
0.137421247443825,1.43,0.21245161283902
0.999952348855163,0.43,0.308782152547626
0.999952348855163,0.43,0.308782152547626
0.999952348855163,0.43,0.308782152547626
0.13743604967321,1.43,0.198792545004934
0.999952348855163,0.43,0.308782152547626
0.999952348855163,0.43,0.308782152547626
0.999952348855163,0.43,0.308782152547626
0.999952348855163,0.43,0.308782152547626
0.999952348855163,0.43,0.308782152547626
0.999952348855163,0.43,0.308782152547626
0.999952348855163,0.43,0.308782152547626
0.999952348855163,0.43,0.308782152547626
0.999952348855163,0.43,0.308782152547626
0.999952348855163,0.43,0.308782152547626
0.999952348855163,0.43,0.308782152547626
0.999952348855163,0.43,0.308782152547626
0.999952348855163,0.43,0.308782152547626
0.999952348855163,0.43,0.308782152547626
0.999952348855163,0.43,0.308782152547626
0.999952348855163,0.43,0.308782152547626
0.999952348855163,0.43,0.308782152547626
0.999952348855163,0.43,0.308782152547626
0.999952348855163,0.43,0.308782152547626
0.999952348855163,0.43,0.308782152547626
0.999952348855163,0.43,0.308782152547626
0.999952348855163,0.43,0.308782152547626
0.999952348855163,0.43,0.308782152547626
0.999952348855163,0.43,0.308782152547626
0.999952348855163,0.43,0.308782152547626
0.999952348855163,0.43,0.308782152547626
0.999952348855163,0.43,0.308782152547626
0.0937754307600974,1.88,0.206343856270795
0.00821012128152743,10,1
0.0285811203001703,2.52,0.191659310260078
0.135642597750755,1.4,0.201491292122627
0.137421247443825,1.43,0.21245161283902
0.13743604967321,1.43,0.198792545004934
0.0336489482594042,3.06,0.210221058696772
0.0168575562262034,3.83,0.221285723082442
0.0119393534172592,4.08,0.23728621258774
0.0937754307600974,1.88,0.206343856270795
0.999952348855163,0.43,0.308782152547626
0.999952348855163,0.43,0.308782152547626
0.999952348855163,0.43,0.308782152547626
0.999952348855163,0.43,0.308782152547626
0.137421247443825,1.43,0.21245161283902
0.999952348855163,0.43,0.308782152547626
0.999952348855163,0.43,0.308782152547626
0.137421247443825,1.43,0.21245161283902
0.13743604967321,1.43,0.198792545004934
0.13743604967321,1.43,0.198792545004934
0.137421247443825,1.43,0.21245161283902
0.13743604967321,1.43,0.198792545004934
0.999952348855163,0.43,0.308782152547626
0.999952348855163,0.43,0.308782152547626
0.999952348855163,0.43,0.308782152547626
