1.18,1.498,0.875,1.085,0.795,0.692,0.666,0.65,1.7606
0.878,0.796,0.43,0.592,0.42,0.692,0.41,0.59,1.0235
0.44,0.43,0.43,0.42,0.42,0.42,0.41,0.41,0.66366
0.44,0.43,0.43,0.42,0.42,0.42,0.41,0.41,0.46151
0.878,0.552,0.63,0.592,0.645,0.94,0.666,0.563,1.5568
0.586,0.552,0.63,0.506,0.42,0.488,0.41,0.47,1.0184
1.4971,2.28,1.739,1.442,1.981,1.638,1.514,1.451,2.5853
0.732,0.43,0.43,0.506,0.495,0.42,0.41,0.53,0.80577
1.9188,1.306,1.936,2.539,1.954,1.382,1.694,1.309,2.7627
1.029,1.04,1.03,0.85,0.985,0.76,0.666,0.71,1.5214
1.034,0.674,0.53,0.85,0.795,0.556,0.772,0.53,1.5083
0.44,0.43,0.43,0.42,0.42,0.42,0.41,0.41,0.58113
0.44,0.43,0.43,0.506,0.495,0.42,0.41,0.41,0.67134
1.1056,2.422,2.39,2.363,2.574,2.612,2.094,1.504,3.1606
0.878,1.551,0.83,0.764,0.87,0.624,0.58,0.865,1.5906
0.586,1.034,0.83,1.058,0.645,0.692,0.641,0.59,1.6868
0.586,0.43,0.43,0.42,0.42,0.42,0.41,0.41,0.72737
1.029,1.156,0.872,1.463,1.003,0.76,0.794,0.65,1.7153
0.586,0.552,0.53,0.42,0.495,0.42,0.474,0.47,0.84596
0.586,0.43,0.53,0.592,0.42,0.488,0.41,0.47,0.93776
0.44,0.43,0.43,0.42,0.42,0.42,0.474,0.41,0.68822
0.586,0.668,0.53,0.506,0.495,0.556,0.474,0.47,1.0462
0.586,0.552,0.63,0.42,0.42,0.42,0.41,0.53,0.75332
0.44,0.43,0.43,0.42,0.42,0.42,0.41,0.41,0.46813
0.935,1.3687,2.756,1.435,1.412,1.316,1.19,0.973,2.3059
1.2622,1.173,1.705,1.044,1.538,1.313,1.084,0.77,2.1813
0.586,0.43,0.63,0.42,0.42,0.42,0.474,0.53,0.89086
0.732,0.552,0.53,0.506,0.495,0.76,0.602,0.41,1.0529
0.44,0.43,0.43,0.42,0.42,0.42,0.41,0.41,0.43386
1.024,1.091,1.087,0.912,1.153,0.76,0.794,0.65,1.688
0.44,0.895,0.63,0.592,0.72,0.914,0.872,0.77,1.6314
1.316,1.225,0.83,0.678,0.795,0.692,0.73,0.947,1.602
1.2622,1.199,1.752,0.764,1.206,0.76,0.972,0.993,1.9418
0.93222,1.541,0.816,1.093,0.711,0.939,0.794,1.124,1.8693
0.44,0.43,0.43,0.42,0.42,0.42,0.41,0.41,0.47934
0.44,0.43,0.43,0.42,0.42,0.42,0.41,0.53,0.73105
0.586,0.918,0.63,0.506,0.72,0.624,0.474,0.53,1.2805
0.77,0.937,1.047,0.85,0.891,0.71,0.602,0.77,1.4994
0.44,0.43,0.43,0.42,0.42,0.42,0.41,0.41,0.52711
0.878,0.43,0.73,0.678,0.495,0.624,0.538,0.53,1.103
0.44,0.43,0.43,0.42,0.42,0.42,0.41,0.41,0.5162
0.44,0.43,0.43,0.42,0.42,0.42,0.41,0.41,0.60171
0.878,0.674,0.53,0.506,0.57,0.42,0.538,0.41,1.0498
0.732,0.674,1.064,0.614,0.645,0.556,0.538,0.65,1.3645
1.0944,0.821,0.73,0.764,0.72,0.624,0.73,0.77,1.4634
1.94,2.4071,1.946,1.378,1.478,1.349,1.432,1.358,2.6842
0.44,0.43,0.43,0.42,0.42,0.42,0.41,0.41,0.72222
1.0944,2.127,2.288,2.206,1.356,1.178,1.377,1.019,2.4564
1.49,2.1211,1.881,1.648,1.708,2.042,1.645,1.775,2.8428
0.732,0.895,1.072,1.022,0.795,0.692,0.602,0.53,1.777
0.44,0.43,0.43,0.42,0.42,0.42,0.41,0.41,0.57972
0.44,0.43,0.43,0.42,0.42,0.42,0.41,0.41,0.44408
0.44,0.43,0.53,0.42,0.495,0.42,0.474,0.53,1.0011
0.732,0.947,0.93,0.506,0.795,0.488,0.68,0.71,1.2994
0.6225,1.3133,1.147,1.411,1.068,0.916,1.034,0.83,2.1069
0.586,0.784,0.73,0.592,0.87,0.556,0.538,0.721,1.3709
0.44,0.43,0.43,0.42,0.42,0.42,0.41,0.47,0.72119
0.586,0.552,0.53,0.592,0.57,0.42,0.41,0.47,1.0852
0.586,0.552,0.53,0.506,0.495,0.556,0.538,0.745,1.2326
1.535,1.801,0.872,1.782,1.209,0.804,1.044,1.236,2.203
1.17,0.935,1.387,1.461,0.72,1.053,1.103,0.841,2.1292
1.1825,2.8575,1.742,2.038,2.759,1.039,1.436,1.202,2.8211
0.44,0.43,0.63,0.506,0.57,0.488,0.474,0.53,0.9248
1.365,1.272,1.317,1.394,0.912,0.828,1.175,1.161,2.0216
0.878,0.668,0.43,0.678,0.853,0.76,0.666,0.53,1.322
0.44,0.43,0.43,0.42,0.495,0.42,0.41,0.41,0.67748
1.0944,1.063,0.83,0.919,0.87,0.914,0.702,0.625,1.7322
1.365,1.842,1.463,1.245,1.428,1.368,1.393,1.209,2.3014
0.44,0.43,0.53,0.678,0.57,0.42,0.41,0.41,0.96408
0.44,0.552,0.43,0.42,0.42,0.488,0.41,0.41,0.76268
0.878,0.43,0.43,0.42,0.495,0.42,0.474,0.47,0.84686
0.935,1.434,1.541,1.231,1.11,1.362,0.9,0.872,2.2741
0.44,0.43,0.43,0.42,0.42,0.42,0.41,0.41,0.75823
0.44,0.43,0.43,0.42,0.42,0.42,0.41,0.41,0.51821
0.44,0.552,0.43,0.42,0.495,0.42,0.41,0.41,0.93457
0.44,0.43,0.53,0.42,0.495,0.556,0.474,0.41,0.84306
1.024,1.034,0.63,0.592,0.87,0.692,0.602,0.53,1.2851
1.0657,1.37,1.13,1.13,0.891,0.964,0.744,0.816,1.9115
0.44,0.43,0.43,0.42,0.42,0.42,0.41,0.41,0.58991
0.44,0.43,0.43,0.42,0.42,0.42,0.41,0.41,0.53143
0.586,0.552,0.43,0.764,0.42,0.556,0.538,0.41,1.11
0.586,0.552,0.53,0.506,0.42,0.488,0.41,0.41,0.78315
0.586,0.43,0.43,0.42,0.42,0.42,0.41,0.41,0.6579
0.44,0.43,0.43,0.42,0.42,0.42,0.41,0.41,0.61777
0.586,0.552,0.63,0.592,0.57,0.488,0.538,0.53,1.0026
1.4971,2.1067,1.504,1.758,1.637,1.727,1.4,1.646,2.6171
0.44,0.43,0.43,0.42,0.42,0.42,0.41,0.41,0.52801
0.76444,0.668,0.53,0.985,0.495,0.556,0.666,0.65,1.3787
0.44,0.43,0.53,0.42,0.42,0.42,0.41,0.41,0.65577
0.878,0.552,0.43,0.42,0.495,0.556,0.474,0.47,0.83416
0.732,0.43,0.53,0.506,0.42,0.556,0.538,0.47,0.84892
0.76444,1.15,0.63,0.919,0.843,0.878,0.766,0.65,1.6479
0.883,1.04,0.972,0.592,0.72,0.692,0.833,0.65,1.4508
0.732,0.674,0.73,0.42,0.645,0.624,0.474,0.53,1.0684
0.732,0.969,0.947,0.764,0.72,0.624,0.794,0.71,1.4603
0.586,0.43,0.43,0.42,0.42,0.42,0.41,0.41,0.61514
0.44,0.552,0.43,0.42,0.495,0.488,0.41,0.41,0.69712
0.732,0.552,0.63,0.42,0.495,0.488,0.41,0.41,0.93118
0.44,0.43,0.43,0.42,0.42,0.42,0.41,0.41,0.57178
0.737,0.981,1.03,0.506,0.795,0.692,0.602,0.71,1.5588
0.44,0.43,0.43,0.42,0.42,0.42,0.41,0.41,0.6275
0.44,0.43,0.43,0.42,0.42,0.42,0.41,0.41,0.48492
0.44,1.225,1.027,0.592,0.87,0.872,0.666,0.71,1.5719
1.628,1.6756,1.932,1.677,2.083,1.359,1.733,1.301,2.5218
0.44,0.43,0.43,0.42,0.495,0.42,0.41,0.41,0.64745
0.76444,0.552,0.73,0.678,0.72,0.692,0.602,0.65,1.3133
0.92667,0.918,0.63,0.985,0.891,0.958,0.602,0.77,1.6178
0.44,0.43,0.43,0.42,0.42,0.42,0.41,0.41,0.48539
0.586,0.674,0.53,0.592,0.645,0.488,0.474,0.41,1.0249
0.44,0.43,0.43,0.42,0.42,0.42,0.41,0.41,0.48593
0.44,0.43,0.43,0.42,0.42,0.42,0.474,0.41,0.68559
0.44,0.43,0.43,0.42,0.42,0.42,0.41,0.41,0.49414
0.44,0.552,0.43,0.42,0.42,0.42,0.41,0.41,0.70057
0.44,0.43,0.43,0.506,0.57,0.42,0.474,0.41,0.77556
1.024,0.552,0.83,0.506,0.645,0.556,0.666,0.47,1.3713
1.1763,2.28,2.219,2.365,1.976,2.386,1.607,1.741,3.2371
0.44,0.43,0.43,0.42,0.42,0.42,0.41,0.41,0.72433
0.44,0.43,0.43,0.42,0.42,0.42,0.41,0.41,0.48523
0.44,0.43,0.43,0.42,0.42,0.42,0.41,0.41,0.54329
0.76444,0.668,0.63,0.506,0.645,0.76,0.538,0.65,1.4184
1.0944,1.721,1.527,1.212,1.174,0.778,1.291,0.897,2.0739
0.586,0.674,0.63,0.678,0.57,0.488,0.474,0.65,1.2015
0.44,0.43,0.43,0.42,0.42,0.42,0.41,0.41,0.48673
0.92667,1.267,0.747,0.678,0.57,0.692,0.602,0.65,1.5104
0.44,0.43,0.43,0.42,0.42,0.42,0.41,0.41,0.68342
0.44,0.43,0.43,0.42,0.42,0.42,0.474,0.47,0.7809
0.732,0.43,0.53,0.42,0.57,0.624,0.538,0.41,1.1167
0.77,2.303,1.5737,2.29,2.485,1.811,1.953,1.459,3.0217
0.44,0.43,0.43,0.42,0.42,0.42,0.41,0.41,0.52899
0.86429,1.996,2.433,1.965,1.356,1.59,1.597,1.791,2.6103
0.44,0.43,0.43,0.42,0.495,0.42,0.41,0.47,0.77842
0.732,0.43,0.43,0.506,0.495,0.42,0.474,0.41,0.77159
1.17,0.937,0.53,0.506,0.703,0.692,0.602,0.47,1.3779
1.477,0.906,0.63,0.764,0.645,0.76,0.766,0.83,1.6237
0.44,0.43,0.43,0.506,0.42,0.42,0.41,0.41,0.72334
0.44,0.43,0.43,0.42,0.42,0.42,0.41,0.41,0.43288
0.732,0.43,0.53,0.42,0.591,0.692,0.474,0.59,1.3683
0.878,0.552,0.73,0.592,0.57,0.556,0.602,0.41,1.1395
0.44,0.43,0.43,0.42,0.57,0.488,0.474,0.41,0.88469
1.0889,1.225,0.73,1.14,0.87,0.624,0.808,0.805,1.6766
0.44,0.43,0.43,0.42,0.42,0.42,0.41,0.41,0.47288
0.586,0.674,0.43,0.827,0.57,0.42,0.602,0.53,1.1785
0.44,0.43,0.53,0.42,0.42,0.488,0.474,0.47,0.72796
0.44,0.43,0.63,0.506,0.57,0.624,0.474,0.41,0.89916
1.4244,1.334,1.324,1.128,1.11,1.225,0.869,1.235,2.2934
0.732,0.796,0.63,0.592,0.495,0.42,0.474,0.47,1.3355
0.586,0.821,0.63,0.506,0.57,0.556,0.474,0.47,1.2251
0.732,0.796,1.047,0.592,0.72,0.828,0.538,0.47,1.3578
1.17,1.366,1.474,0.786,0.993,0.896,0.978,1.055,2.0745
0.586,0.552,0.53,0.506,0.57,0.624,0.538,0.53,1.2073
1.618,1.828,1.364,1.293,1.494,1.557,1.122,1.238,2.3138
0.586,0.552,0.53,0.506,0.42,0.42,0.41,0.47,0.99461
1.175,1.069,0.727,0.85,0.645,0.692,0.602,0.71,1.4724
0.44,0.43,0.43,0.42,0.42,0.488,0.41,0.41,0.6665
1.5978,1.899,1.981,1.437,2.029,1.194,1.405,1.229,2.4154
0.44,0.43,0.43,0.506,0.42,0.488,0.41,0.41,0.79007
0.732,0.859,0.63,0.592,0.645,0.556,0.666,0.59,1.2761
0.732,0.796,0.63,0.85,0.645,0.42,0.538,0.41,1.2001
0.44,0.918,0.53,0.506,0.72,0.556,0.474,0.47,1.046
0.883,0.552,0.43,0.42,0.42,0.624,0.666,0.71,1.3306
0.44,0.43,0.43,0.42,0.42,0.42,0.41,0.41,0.54626
0.732,0.674,0.53,0.506,0.42,0.42,0.41,0.41,1.0373
0.99375,1.1713,1.172,1.655,1.488,1.375,1.264,0.923,2.3855
1.024,1.187,0.53,0.678,0.693,0.692,0.474,0.65,1.5315
0.586,0.43,0.53,0.42,0.42,0.42,0.538,0.41,0.88135
0.732,0.552,0.73,0.506,0.42,0.42,0.474,0.47,0.96053
0.878,0.895,0.73,0.678,0.945,0.828,0.602,0.53,1.4004
1.4189,1.309,1.09,0.592,1.086,0.896,1.17,0.721,2.0746
0.92667,1.028,0.83,0.592,0.795,0.488,0.538,0.89,1.4215
0.44,0.43,0.43,0.42,0.495,0.42,0.474,0.41,0.74492
1.17,0.43,0.43,0.506,0.57,0.488,0.474,0.53,1.0208
0.44,0.43,0.43,0.42,0.42,0.42,0.41,0.41,0.67779
0.586,0.552,0.43,0.506,0.57,0.488,0.538,0.41,1.0261
1.2814,1.364,1.292,1.007,1.191,1.062,1.036,0.743,2.0482
0.586,0.552,0.73,0.678,0.495,0.488,0.872,0.59,1.198
0.44,0.43,0.43,0.42,0.42,0.42,0.41,0.41,0.69939
1.1056,1.441,1.428,1.315,1.194,1.296,1.098,1.476,2.3371
1.024,0.918,0.63,0.85,0.795,0.624,0.538,0.53,1.2207
1.5475,2.1243,2.614,2.185,2.855,1.956,2.327,2.583,3.56
0.44,0.43,0.43,0.506,0.42,0.488,0.41,0.41,0.79179
0.44,1.048,0.83,0.958,0.693,0.81,0.538,0.47,1.6053
0.732,0.918,0.83,0.678,0.645,0.42,0.41,0.53,1.1787
0.586,0.43,0.53,0.42,0.42,0.42,0.41,0.41,0.76603
1.331,0.912,1.072,1.12,0.57,0.488,0.602,0.77,1.7561
1.029,1.604,1.047,1.652,1.311,1.248,1.248,1.038,2.0625
1.5537,1.969,1.384,2.109,1.354,1.824,1.831,1.693,2.8123
0.732,1.324,0.83,0.592,0.72,0.624,0.744,0.53,1.5843
1.0889,1.034,1.09,0.85,1.007,0.946,0.616,0.746,1.5341
0.44,0.43,0.43,0.42,0.42,0.42,0.41,0.41,0.52317
1.4383,2.314,2.488,3.379,2.85,2.67,2.067,2.379,3.5926
0.586,0.552,0.53,0.506,0.645,0.624,0.602,0.59,1.0871
0.883,1.059,0.83,0.678,0.795,0.624,0.538,0.71,1.4213
0.44,0.43,0.43,0.592,0.57,0.488,0.538,0.41,0.91475
0.44,0.43,0.43,0.42,0.42,0.42,0.41,0.41,0.44711
0.44,0.43,0.43,0.42,0.42,0.42,0.41,0.41,0.51063
0.44,0.43,0.43,0.42,0.42,0.42,0.41,0.47,0.71232
0.586,0.918,0.53,0.506,0.495,0.556,0.666,0.41,1.1937
0.44,0.43,0.43,0.506,0.645,0.42,0.474,0.41,0.88187
0.44,0.43,0.43,0.42,0.42,0.488,0.474,0.41,0.73645
0.586,0.43,0.43,0.42,0.42,0.42,0.41,0.47,0.74736
0.44,0.43,0.43,0.42,0.42,0.42,0.41,0.41,0.43768
0.44,0.43,0.43,0.42,0.42,0.42,0.41,0.41,0.54537
0.44,0.43,0.53,0.42,0.42,0.42,0.474,0.47,0.76043
0.44,0.43,0.43,0.42,0.42,0.42,0.41,0.41,0.48081
1.0889,0.918,0.93,0.764,1.062,0.556,0.666,0.59,1.5708
0.44,0.43,0.43,0.506,0.57,0.488,0.41,0.41,0.85865
0.586,0.796,0.63,0.85,0.495,0.624,0.474,0.41,1.2075
0.586,0.552,0.53,0.42,0.495,0.42,0.41,0.47,0.81914
0.44,0.43,0.43,0.42,0.42,0.42,0.41,0.41,0.60466
0.44,0.43,0.43,0.42,0.42,0.42,0.41,0.41,0.75579
0.44,0.43,0.43,0.42,0.42,0.42,0.41,0.41,0.61294
0.732,0.674,0.43,0.592,0.495,0.42,0.474,0.41,0.93262
0.44,0.43,0.43,0.42,0.42,0.42,0.41,0.41,0.49717
1.17,0.912,1.186,1.179,1.256,1.008,0.808,1.008,1.8598
0.44,0.43,0.43,0.42,0.42,0.42,0.41,0.41,0.56675
1.3587,1.3467,1.298,1.708,1.089,1.009,1.01,1.111,2.3652
0.44,0.43,0.43,0.42,0.42,0.42,0.41,0.41,0.65279
0.44,0.43,0.43,0.42,0.42,0.42,0.41,0.41,0.49265
0.586,0.552,0.43,0.42,0.42,0.42,0.41,0.41,0.80141
1.029,1.422,0.93,1.165,0.666,0.692,0.999,0.78,1.78
0.878,1.069,0.73,0.936,0.645,0.624,0.602,0.59,1.2571
1.4217,2.615,2.506,2.822,1.249,1.174,2.065,1.929,3.0428
0.44,1.023,1.512,1.318,1.16,1.09,1.136,0.841,2.0837
0.878,1.219,1.121,0.678,0.915,1.037,0.702,0.77,1.8557
0.44,0.43,0.43,0.42,0.42,0.42,0.41,0.41,0.75577
0.44,0.43,0.43,0.42,0.42,0.42,0.41,0.41,0.53324
0.44,0.43,0.43,0.42,0.42,0.488,0.474,0.41,0.77777
0.44,0.43,0.43,0.42,0.42,0.42,0.41,0.41,0.45273
0.586,0.43,0.53,0.42,0.42,0.42,0.41,0.41,0.75451
0.94333,1.28,2.17,1.114,0.915,1.564,1.122,1.09,2.1449
0.44,0.43,0.43,0.42,0.42,0.42,0.41,0.41,0.50673
1.17,1.028,0.93,0.42,0.666,0.624,0.538,0.65,1.5973
1.17,0.796,1.19,0.872,0.87,0.664,0.992,0.837,1.8337
0.44,0.43,0.43,0.42,0.42,0.42,0.41,0.41,0.49972
0.586,0.552,0.43,0.506,0.57,0.488,0.41,0.47,0.95717
1.43,1.334,1.314,1.398,0.96,1.076,1,0.806,1.9924
1.034,1.255,1.749,0.985,1.083,0.76,0.708,0.841,1.9299
0.44,0.552,0.63,0.592,0.57,0.42,0.538,0.41,0.89679
1.17,1.2311,1.715,1.291,1.5,0.846,0.83,0.996,2.137
0.93222,0.943,0.79,0.506,1.089,0.868,0.794,0.65,1.7623
0.732,1.04,0.73,0.592,0.966,0.642,0.666,0.53,1.554
0.92667,1.29,1.532,1.373,0.72,0.864,0.602,0.752,1.8143
0.44,0.43,0.43,0.42,0.42,0.42,0.474,0.41,0.5518
1.3525,0.943,1.075,0.811,0.57,0.846,0.808,0.685,1.7113
1.17,1.059,0.99,0.936,0.72,0.76,0.794,0.53,1.5122
0.586,0.668,0.875,0.678,0.645,0.692,0.538,0.65,1.5385
0.44,0.43,0.43,0.42,0.42,0.42,0.41,0.47,0.91035
0.586,0.546,0.53,0.678,0.57,0.624,0.602,0.71,1.2686
0.93222,0.889,1.175,1.259,1.633,1.053,0.866,0.53,2.1989
0.44,0.43,0.43,0.506,0.42,0.488,0.41,0.41,0.66626
